O2 in gas | OUR | glucose uptake model vs data | ethanol model vs data | biomass model vs data | implied Y_RED
   20.9%  I |  2.7 |  1.16 vs  1.28 |  0.00 vs  0.00 |  4.80 vs  5.17 | -0.05
   20.9% II |  2.7 |  1.16 vs  0.87 |  0.00 vs  0.00 |  4.80 vs  5.31 |   nan
    2.8%  I |  2.5 |  1.44 vs  1.36 |  0.63 vs  0.07 |  3.86 vs  4.61 |  0.13
    2.8% II |  2.5 |  1.44 vs  1.28 |  0.63 vs  0.10 |  3.86 vs  4.86 |  0.18
    1.0%  I |  1.7 |  2.75 vs  1.97 |  3.55 vs  1.56 |  2.02 vs  3.22 |  0.16
    1.0% II |  1.7 |  2.75 vs  2.13 |  3.55 vs  2.00 |  2.02 vs  2.70 |  0.14
    0.5%  I |  1.2 |  3.58 vs  2.20 |  5.38 vs  2.59 |  1.55 vs  2.21 |  0.18
    0.5% II |  1.2 |  3.58 vs  2.78 |  5.38 vs  2.91 |  1.55 vs  2.08 |  0.14
    0.0%  I |  0.0 |  5.55 vs  6.30 |  9.77 vs  9.05 |  1.00 vs  1.03 |  0.09
    0.0% II |  0.0 |  5.55 vs  6.58 |  9.77 vs  9.47 |  1.00 vs  0.98 |  0.08
