# Ji et al. 2016, SpringerPlus 5:503, doi:10.1186/s40064-016-2151-3, Figure 1 (initial glucose 40 g/L). CC BY 4.0.
# READ FROM A 360 px IMAGE by eye on a pixel grid (agent, 2026-09-24). NOT the authors' raw data.
# Axis calibration: left log axis 0.1-100 g/L (cells), right linear axis 0-50 g/L (glucose, ethanol), x 0-30 h at 8 px/h.
# Estimated reading error: about +-1 px, i.e. about +-3 % for cells and about +-0.2 g/L for glucose and ethanol.
# Markers appear hourly, although the methods state a 2 h sampling interval (see docs/SOURCES.md).
# Cells after 19 h are flat at the value shown; glucose after 10 h reads as 0.
t_h,cells_g_per_L,glucose_g_per_L,ethanol_g_per_L
0,0.207,39.9,0.1
1,0.283,37.9,1.0
2,0.394,35.0,2.0
3,0.643,32.4,3.25
4,1.20,29.8,4.2
5,2.27,26.2,7.6
6,3.89,20.1,12.2
7,6.01,9.8,15.65
8,8.15,2.3,16.0
9,8.75,1.0,15.35
10,8.75,0.0,13.5
11,8.75,0.0,12.3
12,8.87,0.0,10.3
13,9.0,0.0,8.5
14,9.25,0.0,6.8
15,9.7,0.0,5.0
16,10.4,0.0,3.25
17,11.3,0.0,2.1
18,12.2,0.0,1.1
19,12.6,0.0,0.35
20,12.6,0.0,0.0
21,12.6,0.0,0.0
22,12.6,0.0,0.0
23,12.6,0.0,0.0
24,12.6,0.0,0.0
25,12.6,0.0,0.0
26,12.6,0.0,0.0
