# Jouhten P et al. (2008). Oxygen dependence of metabolic fluxes and energy generation of Saccharomyces cerevisiae
# CEN.PK113-1A. BMC Systems Biology 2:60. doi:10.1186/1752-0509-2-60 (PMC2507709). Open access, CC BY 2.0.
# Glucose-limited chemostat, D = 0.10 1/h, 30 C, pH 5, 1.5 vvm, defined medium with 10 g/L glucose, plus ergosterol and Tween 80.
# Inlet gas O2 = 20.9 / 2.8 / 1.0 / 0.5 / 0 %, two independent cultures (I, II) each.
# Rates in mmol per g dry weight per hour, from Table 1 (mean values). OUR from Table 3 (one value per condition).
o2_inlet_pct,culture,OUR,q_glucose,q_ethanol,q_glycerol,q_acetate,biomass_g_per_L
20.9,I,2.7,1.28,0.00,0.00,0.00,5.17
20.9,II,2.7,0.87,0.00,0.00,0.00,5.31
2.8,I,2.5,1.36,0.07,0.00,0.00,4.61
2.8,II,2.5,1.28,0.10,0.00,0.00,4.86
1.0,I,1.7,1.97,1.56,0.00,0.00,3.22
1.0,II,1.7,2.13,2.00,0.00,0.00,2.70
0.5,I,1.2,2.20,2.59,0.00,0.00,2.21
0.5,II,1.2,2.78,2.91,0.00,0.00,2.08
0.0,I,0.0,6.30,9.05,1.05,0.00,1.03
0.0,II,0.0,6.58,9.47,1.11,0.00,0.98
