# Moreno-Paz S, Schmitz J, Martins dos Santos VAP, Suarez-Diez M (2022). Microbial Biotechnology 15:1434-1445,
# doi:10.1111/1751-7915.13995. Their own fed-batch experiment. Data: SupData_Fermentation.xlsx, sheet Fed-batch
# (https://gitlab.com/saramorenopaz/ecmodels-predict-growth-dynamics-s.-cerevisiae, MIT licence). Copied unchanged.
# Conditions (their Appendix S1): S. cerevisiae CEN.PK113-7D, 1 L DASGIP fermenter, pH 5.1, 30 C.
#   Batch: 400 g medium with 2.5 g/kg glucose (defined, Verduyn 1992). After 4 h: exponential feed for mu = 0.05 1/h.
#   Feed: 209 g/kg glucose + 7.67 g/kg ethanol (defined). Inoculum size and initial feed rate are NOT reported.
# OUR and CPR in mmol per kg broth per hour (off-gas analysis). Biomass in g/kg, measured 5 times. TEST DATA ONLY.
t_h,OUR_mmol_per_kg_h,CPR_mmol_per_kg_h,biomass_g_per_kg
0,-0.9467,0.0105449,
0.0333333,-0.947887,0.0105451,
0.0666667,-0.949073,0.0105453,
0.1,-0.727634,0.0105454,
0.133333,-0.62219,0.0105456,
0.166667,-0.464014,0.221461,
0.2,-0.395472,0.221465,
0.233333,-0.326929,0.43239,
0.266667,-0.210925,0.432397,
0.3,-0.184563,0.643333,
0.333333,-0.158199,0.643343,
0.366667,-0.0210935,0.643353,
0.4,-0.00131837,0.864849,
0.433333,0.0184574,0.864863,
0.466667,0.0382339,0.864877,
0.5,0.0580109,0.86489,
0.533333,0.0777886,1.07586,
0.566667,0.097567,1.07587,
0.6,0.117346,1.07589,
0.633333,0.137126,1.07591,
0.666667,0,1.28689,
0.7,0.116033,1.28691,
0.733333,0.100212,1.28693,
0.766667,0.0843903,1.28695,
0.8,0.0808753,1.28697,
0.833333,0.0773601,1.49797,
0.866667,0.0738449,1.498,
0.9,0.0703295,1.49802,
0.933333,0.0668141,1.49804,
0.966667,0.0632985,1.49806,
1,0.284848,1.49809,
1.03333,0.275621,1.70911,
1.06667,0.266393,1.70914,
1.1,0.257166,1.70916,
1.13333,0.247938,1.70919,
1.16667,0.23871,1.70922,
1.2,0.229482,1.93081,
1.23333,0.220253,1.92556,
1.26667,0.211024,1.92032,
1.3,0.200476,1.92035,
1.33333,0.189928,2.14196,
1.36667,0.179379,2.142,
1.4,0.16883,2.14203,
1.43333,0.400979,2.14207,
1.46667,0.378562,2.35315,
1.5,0.356145,2.35319,
1.53333,0.333727,2.35324,
1.56667,0.311308,2.56433,
1.6,0.288889,2.56438,
1.63333,0.266468,2.56443,
1.66667,0.244047,2.56448,
1.7,0.221625,2.77559,
1.73333,0.258568,2.77565,
1.76667,0.295512,2.7757,
1.8,0.284963,2.99739,
1.83333,0.453839,2.99745,
1.86667,0.443293,2.99751,
1.9,0.432747,2.99757,
1.93333,0.4222,3.20872,
1.96667,0.411653,3.20879,
2,0.401106,3.20885,
2.03333,0.390558,3.42002,
2.06667,0.38001,3.42009,
2.1,0.601694,3.42015,
2.13333,0.582704,3.63134,
2.16667,0.563714,3.70179,
2.2,0.544722,3.77224,
2.23333,0.525731,3.84269,
2.26667,0.506738,3.84276,
2.3,0.49619,3.84284,
2.33333,0.485643,4.06462,
2.36667,0.717921,4.0647,
2.4,0.69154,4.27594,
2.43333,0.665159,4.27602,
2.46667,0.638777,4.27611,
2.5,0.612393,4.48736,
2.53333,0.834139,4.55785,
2.56667,0.591301,4.62834,
2.6,0.844733,4.69883,
2.63333,0.819409,4.77284,
2.66667,0.794083,4.84686,
2.7,0.768757,4.92089,
2.73333,0.74343,4.91044,
2.76667,0.718101,5.13231,
2.8,0.950449,5.13243,
2.83333,0.947453,5.13254,
2.86667,0.944457,5.34388,
2.9,0.941461,5.344,
2.93333,0.938464,5.34412,
2.96667,0.935468,5.55547,
3,0.932471,5.5556,
3.03333,0.929474,5.55572,
3.06667,1.07737,5.76709,
3.1,1.10908,5.77779,
3.13333,1.01404,5.98917,
3.16667,1.05632,5.97875,
3.2,1.04049,6.20071,
3.23333,1.02467,6.30649,
3.26667,1.18315,6.41227,
3.3,1.17792,6.41252,
3.33333,1.17268,6.41277,
3.36667,1.16744,6.62432,
3.4,1.16221,6.62458,
3.43333,1.38414,6.62484,
3.46667,1.41378,6.847,
3.5,1.44342,6.84728,
3.53333,1.47307,7.0589,
3.56667,1.50272,7.05918,
3.6,1.53237,7.05947,
3.63333,1.57048,7.27113,
3.66667,1.60859,7.34189,
3.7,1.64671,7.41266,
3.73333,1.68483,7.48343,
3.76667,1.72295,7.48374,
3.8,1.71875,7.59482,
3.83333,1.71454,7.70591,
3.86667,1.71033,7.706,
3.9,1.70612,7.91751,
3.93333,1.70192,7.91408,
3.96667,1.8605,7.91066,
4,1.8563,7.90723,
4.03333,1.85209,8.12932,
4.06667,1.84788,8.12942,
4.1,1.84368,8.12952,
4.13333,1.83947,8.12962,
4.16667,2.09322,8.12972,
4.2,2.10382,8.12982,
4.23333,2.11441,8.12992,
4.26667,2.12501,8.13002,
4.3,2.14976,8.13031,
4.33333,2.1745,8.1306,
4.36667,2.19925,7.90884,
4.4,2.17817,7.91967,
4.43333,2.46374,7.69788,
4.46667,2.3898,7.69812,
4.5,2.31586,7.48687,
4.53333,2.44283,7.27561,
4.56667,2.47816,7.05376,
4.6,2.51349,6.84246,
4.63333,2.54882,6.63115,
4.66667,2.60706,6.41983,
4.7,2.66531,5.98638,
4.73333,2.64424,5.77502,
4.76667,2.62316,5.34152,
4.8,2.67961,5.13005,
4.83333,2.73606,4.70701,
4.86667,2.79251,4.48494,
4.9,2.94063,4.06188,
4.93333,3.01471,3.85037,
4.96667,3.08879,3.41671,
5,3.10998,3.20518,
5.03333,3.13117,2.99365,
5.06667,3.15236,2.78211,
5.1,3.30048,2.57057,
5.13333,3.26172,2.34844,
5.16667,3.22296,2.34846,
5.2,3.1842,2.1369,
5.23333,3.42753,2.03113,
5.26667,3.46987,1.92536,
5.3,3.48753,1.92537,
5.33333,3.50518,1.88306,
5.36667,3.52283,1.84076,
5.4,3.54048,1.79845,
5.43333,3.55813,1.75615,
5.46667,3.57579,1.71384,
5.5,3.58639,1.75617,
5.53333,3.79799,1.79849,
5.56667,3.79096,1.84082,
5.6,3.78393,1.88315,
5.63333,3.7769,1.92548,
5.66667,3.97793,1.92549,
5.7,3.99912,1.9255,
5.73333,4.0203,1.92551,
5.76667,4.04148,1.92552,
5.8,4.04509,1.92556,
5.83333,4.0487,1.9256,
5.86667,4.0523,1.92564,
5.9,4.3169,1.92568,
5.93333,4.34079,1.92571,
5.96667,4.36469,1.92575,
6,4.38859,1.92579,
6.03333,4.41249,1.93642,
6.06667,4.57132,2.0026,
6.1,4.60052,2.06878,
6.13333,4.62972,2.13496,
6.16667,4.65893,2.20115,
6.2,4.68814,2.21178,
6.23333,4.97398,2.22242,
6.26667,5.03759,2.23305,
6.3,5.06939,2.24366,
6.33333,5.08267,2.25426,
6.36667,5.09596,2.26487,
6.4,5.10925,2.50832,
6.43333,5.12254,2.52158,
6.46667,5.37662,2.53484,
6.5,5.41903,2.54811,
6.53333,5.46144,2.56137,
6.56667,5.48797,2.57464,
6.6,5.51451,2.5879,
6.63333,5.54105,2.60117,
6.66667,5.56747,2.61438,
6.7,5.62036,2.62848,
6.73333,5.67325,2.64258,
6.76667,5.94842,2.65668,
6.8,5.96445,2.91078,
6.83333,5.98049,2.92356,
6.86667,5.99653,2.93634,
6.9,6.01257,2.94912,
6.93333,6.22445,2.9619,
6.96667,6.20873,2.97469,
7,6.19302,2.99064,
7.03333,6.44726,3.0066,
