# van Hoek P, van Dijken JP, Pronk JT (1998). Effect of specific growth rate on fermentative capacity of baker's yeast.
# Appl Environ Microbiol 64:4226-4233. doi:10.1128/aem.64.11.4226-4233.1998. Industrial baker's yeast DS28911, aerobic,
# glucose-limited chemostat, defined mineral medium (no yeast extract), 30 C, pH 5, feed 7.5 g/L glucose.
# TRANSCRIBED FROM a secondary compilation: Moreno-Paz et al. 2022, SupData_Fermentation.xlsx, sheet Chemostat_data,
# paper 2 (https://gitlab.com/saramorenopaz/ecmodels-predict-growth-dynamics-s.-cerevisiae, MIT licence).
# Checked against the original abstract: onset of ethanol above D = 0.28 1/h; about 14 mmol ethanol/g/h at D = 0.40 (match).
# Fluxes in mmol per g dry biomass per hour; yield in g biomass per g glucose.
D_per_h,q_o2,q_co2,q_glucose,q_ethanol,q_acetate,q_pyruvate,q_glycerol,Yxs
0.025,0.8,0.8,0.3,0,0,0,0,0.45
0.05,1.3,1.4,0.6,0,0,0,0,0.47
0.1,2.5,2.7,1.1,0,0,0,0,0.48
0.15,3.9,4.2,1.7,0,0,0,0,0.49
0.2,5.3,5.7,2.3,0,0,0,0,0.48
0.25,7,7.5,2.8,0,0,0,0,0.48
0.28,7.4,8,3.4,0.11,0.08,0.01,0,0.46
0.3,6.1,8.8,4.5,2.3,0.41,0.01,0,0.37
0.35,5.1,14.9,8.6,9.5,0.62,0.03,0.05,0.23
0.4,3.7,18.9,11.1,13.9,0.6,0.05,0.15,0.2
